score      bagging_fraction         feature_fraction           is_unbalance              lambda_l1                max_depth             min_data_in_leaf            num_leaves       
2.11218   0.47888656033619120267   0.35043147209166303213   0.14773885716028389847  20.17765336696084332857  -0.43357781072488832397 112.49670747785033597665 272.18093086293947635568
2.09715   0.73087349889734221087   0.92658852549630821294   0.53119734725406930753   6.53989605517772787380  37.03441666101638674036  62.10039471434858171506  36.11558779460261803251
2.11358   0.38481635921549212087   0.93473397813763625663   0.47251045385637102658  19.52396226969450410138  99.11467033523832981246 198.73807599257781930646 296.06362631344995861582
2.10802   0.45196524616392208529   0.97601299505682703739   0.12343594662106671667   1.75725808695881191568  98.68770920644082877971  13.79396834761250723034 299.52778435343486762577
2.11422   0.24588046160254306560   0.56385373621150258749   0.85025379183904348235   2.62375408215238881127   2.28175303175308963333 189.49297606441007246758 299.15278976961951684643
2.11430   0.72593470795722248035   0.85180740242769825699   0.79534388470496708567  24.69379849937354265421   2.11548284053731805443 197.97960345082827871011 295.05890951059387816713
2.12239   0.29906255338579801339   0.21987774067806073464   0.27209061353937447070  24.38981232510296948135  -0.93998103481043437935 190.31902198563889783145 299.25597457645324084297
2.11273   0.49542415042603799025   0.87919674871987107956   0.58736027491751297003  22.81860915586356952645  93.06591449466854726325 198.84587163243040208727   7.11837493818340938390
2.09830   0.45286777502892849867   0.69405729287284367857   0.74641307813040969066  10.28011701349260675897  98.14448699007429866015   5.07436654414713483874   7.51295346837537536544
2.12345   0.24505289378814609780   0.20164851804353675635   0.81034644428343427514  16.48505612055931734972   1.75105363755152154681   8.89854120183527363963 299.77809391722252030377
2.11318   0.78311856320876338522   0.28027733666937665324   0.17306419710212328500  26.56274571655864491504   4.68897481881147104588 193.04102874437464265611   5.52595269360364937938
2.11890   0.38380654222808363585   0.57328739929228467176   0.58231923600418933340  26.11993482865034366114   8.75911851815962450019  88.20235073527295810436 299.72712684005773553508
2.12308   0.78853869615949845340   0.33989118106961796473   0.02802059584103888668  24.54788349425816562643  15.47216795521488208465   8.08150273926016993187 299.79059460159066929918
2.11094   0.59121711218272388066   0.41194786232489022382   0.81315753706397508882  25.88766910693967204793   6.38281653916595370646   8.34050122236747881743 296.72660757228089778437
2.09327   0.31034425468989407237   0.52437938592187727238   0.49450796215076664453   3.88014485480219706304   0.66604685836420740586   5.18007126309169763090   5.25627359467344046351
2.13823   0.28004816245758662463   0.58234389489069271484   0.27531122299793076014  26.92853716994654433847  99.59475792015697948045 199.70698473693789765093 144.79276115545184211442
2.09945   0.99886080264917187499   0.42560137711646633951   0.48461429525459709389   0.93512912249133239850  -0.28497749236771496850 196.20741650523609678203  83.56006051134905021627
2.14785   0.47977957104966195701   0.24521236093339091044   0.22136577471333052092   0.74243267965828696475  88.83987784365727691238   6.86195468647766038117 125.56207423124870103948
2.10321   0.20680338029164718749   0.79220981976810911362   0.10509293185866264153   0.06370227063107580801  99.97924270745618002820  98.75822862610958452478 147.57003553151497499130
